*------------------------------------*
NEWD!P!0!templateshirt.JPG!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(26.419708, 4.0, -10.254875)
NEWD!A!1!shirtyellowbob.jpg!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(7.134018, 4.0, -3.4332237)
NEWD!A!2!shirtyellowcarl.jpg!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(-20.08528, 4.0, 16.634064)
NEWD!A!3!shirtyellowalan.jpg!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(-12.630743, 4.0, 1.0160255)
NEWD!A!4!templateshirt.JPG!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(31.188646, 4.0, -27.143763)
NEWD!A!5!templateshirt.JPG!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(8.540983, 4.0, -10.629776)
0$B(0.0, -4.1499996, 0.0)$0P$(26.419708, 4.0, -10.254875)$258.07$leftShoulderJoint:(0.5096054, -0.8190238, -2.9742472E-8, 0.26363277);leftElbowJoint:(0.094918676, -0.26874703, 3.4160497E-8, 0.95852256);rightShoulderJoint:(-0.70354813, 0.6833332, 1.0647465E-7, 0.19512987);rightElbowJoint:(0.07100155, -0.14319642, 1.8205292E-9, 0.9871442);$0.0$1A$(7.134018, 4.0, -3.4332237)$109.72355$0$4.0$2A$(-20.08528, 4.0, 16.634064)$120.280334$0$4.0$3A$(-12.630743, 4.0, 1.0160255)$106.343475$0$4.0$4A$(31.188646, 4.0, -27.143763)$282.33316$0$0.0$5A$(8.540983, 4.0, -10.629776)$260.3942$0$0.0$
1212$B(21.510712, 5.135478, -16.568914)$0P$(21.751854, 4.078597, -16.500374)$240.13667$leftShoulderJoint:(0.5740483, -0.27386114, -1.8981156E-8, 0.77166617);leftElbowJoint:(0.3822166, 0.42516756, -5.4043152E-8, 0.8204529);rightShoulderJoint:(-0.047270387, 0.28808835, 3.9362103E-8, 0.95643646);rightElbowJoint:(0.8854478, 0.081798725, 2.2703496E-8, 0.45748356);$0.0$1A$(17.268412, 4.0775476, -15.514995)$206.04329$0$4.0$2A$(-4.1340632, 4.076974, 1.4568536)$135.0248$0$4.0$3A$(2.4471798, 4.0767126, -14.8115635)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1213$B(21.510712, 5.135478, -16.568914)$0P$(21.751854, 4.078597, -16.500374)$240.13667$leftShoulderJoint:(0.5740483, -0.27386114, -1.8981156E-8, 0.77166617);leftElbowJoint:(0.3822166, 0.42516756, -5.4043152E-8, 0.8204529);rightShoulderJoint:(-0.047270387, 0.28808835, 3.9362103E-8, 0.95643646);rightElbowJoint:(0.8854478, 0.081798725, 2.2703496E-8, 0.45748356);$0.0$1A$(17.268412, 4.0775476, -15.514995)$206.04329$0$4.0$2A$(-4.1340632, 4.076974, 1.4568536)$135.0248$0$4.0$3A$(2.4471798, 4.0767126, -14.8115635)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1214$B(21.510712, 5.135478, -16.568914)$0P$(21.751854, 4.078597, -16.500374)$240.13667$leftShoulderJoint:(0.5740483, -0.27386114, -1.8981156E-8, 0.77166617);leftElbowJoint:(0.3822166, 0.42516756, -5.4043152E-8, 0.8204529);rightShoulderJoint:(-0.047270387, 0.28808835, 3.9362103E-8, 0.95643646);rightElbowJoint:(0.8854478, 0.081798725, 2.2703496E-8, 0.45748356);$0.0$1A$(17.268412, 4.0775476, -15.514995)$206.04329$0$4.0$2A$(-4.1340632, 4.076974, 1.4568536)$135.0248$0$4.0$3A$(2.4471798, 4.0767126, -14.8115635)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1215$B(21.510712, 5.135478, -16.568914)$0P$(21.751854, 4.078597, -16.500374)$240.13667$leftShoulderJoint:(0.5740483, -0.27386114, -1.8981156E-8, 0.77166617);leftElbowJoint:(0.3822166, 0.42516756, -5.4043152E-8, 0.8204529);rightShoulderJoint:(-0.047270387, 0.28808835, 3.9362103E-8, 0.95643646);rightElbowJoint:(0.8854478, 0.081798725, 2.2703496E-8, 0.45748356);$0.0$1A$(17.23656, 4.077811, -15.56925)$206.04329$0$4.0$2A$(-4.0877566, 4.0786347, 1.4172978)$135.0248$0$4.0$3A$(2.485654, 4.0767307, -14.861788)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1216$B(21.510712, 5.135478, -16.568914)$0P$(21.751854, 4.078597, -16.500374)$240.13667$leftShoulderJoint:(0.5740483, -0.27386114, -1.8981156E-8, 0.77166617);leftElbowJoint:(0.3822166, 0.42516756, -5.4043152E-8, 0.8204529);rightShoulderJoint:(-0.047270387, 0.28808835, 3.9362103E-8, 0.95643646);rightElbowJoint:(0.8854478, 0.081798725, 2.2703496E-8, 0.45748356);$0.0$1A$(17.23656, 4.077811, -15.56925)$206.04329$0$4.0$2A$(-4.0877566, 4.0786347, 1.4172978)$135.0248$0$4.0$3A$(2.485654, 4.0767307, -14.861788)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1217$B(21.510712, 5.135478, -16.568914)$0P$(21.751854, 4.078597, -16.500374)$240.13667$leftShoulderJoint:(0.5740483, -0.27386114, -1.8981156E-8, 0.77166617);leftElbowJoint:(0.3822166, 0.42516756, -5.4043152E-8, 0.8204529);rightShoulderJoint:(-0.047270387, 0.28808835, 3.9362103E-8, 0.95643646);rightElbowJoint:(0.8854478, 0.081798725, 2.2703496E-8, 0.45748356);$0.0$1A$(17.23656, 4.077811, -15.56925)$206.04329$0$4.0$2A$(-4.0877566, 4.0786347, 1.4172978)$135.0248$0$4.0$3A$(2.485654, 4.0767307, -14.861788)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1218$B(21.510712, 5.135478, -16.568914)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.204573, 4.077867, -15.623746)$206.04329$0$4.0$2A$(-4.0369964, 4.0759096, 1.3740792)$135.0248$0$4.0$3A$(2.5241203, 4.076759, -14.912002)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1219$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.204573, 4.077867, -15.623746)$206.04329$0$4.0$2A$(-4.0369964, 4.0759096, 1.3740792)$135.0248$0$4.0$3A$(2.5241203, 4.076759, -14.912002)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1220$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.204573, 4.077867, -15.623746)$206.04329$0$4.0$2A$(-4.0369964, 4.0759096, 1.3740792)$135.0248$0$4.0$3A$(2.5241203, 4.076759, -14.912002)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1221$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.204573, 4.077867, -15.623746)$206.04329$0$4.0$2A$(-4.0369964, 4.0759096, 1.3740792)$135.0248$0$4.0$3A$(2.5241203, 4.076759, -14.912002)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1222$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.172539, 4.077846, -15.678335)$206.04329$0$4.0$2A$(-3.9899926, 4.0770135, 1.334009)$135.0248$0$4.0$3A$(2.5627763, 4.0765643, -14.962445)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1223$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.172539, 4.077846, -15.678335)$206.04329$0$4.0$2A$(-3.9899926, 4.0770135, 1.334009)$135.0248$0$4.0$3A$(2.5627763, 4.0765643, -14.962445)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1224$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.172539, 4.077846, -15.678335)$206.04329$0$4.0$2A$(-3.9899926, 4.0770135, 1.334009)$135.0248$0$4.0$3A$(2.5627763, 4.0765643, -14.962445)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1225$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.172539, 4.077846, -15.678335)$206.04329$0$4.0$2A$(-3.9899926, 4.0770135, 1.334009)$135.0248$0$4.0$3A$(2.5627763, 4.0765643, -14.962445)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1226$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.140255, 4.0775156, -15.733262)$206.04329$0$4.0$2A$(-3.9438183, 4.078785, 1.2945614)$135.0248$0$4.0$3A$(2.6013584, 4.0764637, -15.012793)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1227$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.140255, 4.0775156, -15.733262)$206.04329$0$4.0$2A$(-3.9438183, 4.078785, 1.2945614)$135.0248$0$4.0$3A$(2.6013584, 4.0764637, -15.012793)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1228$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.140255, 4.0775156, -15.733262)$206.04329$0$4.0$2A$(-3.9438183, 4.078785, 1.2945614)$135.0248$0$4.0$3A$(2.6013584, 4.0764637, -15.012793)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1229$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.140255, 4.0775156, -15.733262)$206.04329$0$4.0$2A$(-3.9438183, 4.078785, 1.2945614)$135.0248$0$4.0$3A$(2.6013584, 4.0764637, -15.012793)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1230$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.108, 4.077275, -15.7880745)$206.04329$0$4.0$2A$(-3.8930576, 4.07606, 1.2513435)$135.0248$0$4.0$3A$(2.6397457, 4.0765934, -15.062901)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1231$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.108, 4.077275, -15.7880745)$206.04329$0$4.0$2A$(-3.8930576, 4.07606, 1.2513435)$135.0248$0$4.0$3A$(2.6397457, 4.0765934, -15.062901)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1232$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.108, 4.077275, -15.7880745)$206.04329$0$4.0$2A$(-3.8930576, 4.07606, 1.2513435)$135.0248$0$4.0$3A$(2.6397457, 4.0765934, -15.062901)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1233$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.075945, 4.0773225, -15.842561)$206.04329$0$4.0$2A$(-3.8458478, 4.076977, 1.2111081)$135.0248$0$4.0$3A$(2.678154, 4.0766954, -15.113036)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1234$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.075945, 4.0773225, -15.842561)$206.04329$0$4.0$2A$(-3.8458478, 4.076977, 1.2111081)$135.0248$0$4.0$3A$(2.678154, 4.0766954, -15.113036)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1235$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.075945, 4.0773225, -15.842561)$206.04329$0$4.0$2A$(-3.8458478, 4.076977, 1.2111081)$135.0248$0$4.0$3A$(2.678154, 4.0766954, -15.113036)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1236$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.075945, 4.0773225, -15.842561)$206.04329$0$4.0$2A$(-3.8458478, 4.076977, 1.2111081)$135.0248$0$4.0$3A$(2.678154, 4.0766954, -15.113036)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1237$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.044008, 4.0775256, -15.896868)$206.04329$0$4.0$2A$(-3.799616, 4.0787024, 1.1716185)$135.0248$0$4.0$3A$(2.7167683, 4.076554, -15.163424)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1238$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.044008, 4.0775256, -15.896868)$206.04329$0$4.0$2A$(-3.799616, 4.0787024, 1.1716185)$135.0248$0$4.0$3A$(2.7167683, 4.076554, -15.163424)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1239$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.044008, 4.0775256, -15.896868)$206.04329$0$4.0$2A$(-3.799616, 4.0787024, 1.1716185)$135.0248$0$4.0$3A$(2.7167683, 4.076554, -15.163424)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1240$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.94867$leftShoulderJoint:(0.57445276, -0.27346912, -1.8981433E-8, 0.7715042);leftElbowJoint:(0.365814, 0.38083857, -4.840848E-8, 0.84920084);rightShoulderJoint:(-0.037909146, 0.2736611, 3.7235857E-8, 0.9610788);rightElbowJoint:(0.8543955, 0.09132265, 2.1907296E-8, 0.51153547);$0.0$1A$(17.044008, 4.0775256, -15.896868)$206.04329$0$4.0$2A$(-3.799616, 4.0787024, 1.1716185)$135.0248$0$4.0$3A$(2.7167683, 4.076554, -15.163424)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1241$B(21.402657, 5.0052395, -16.609474)$0P$(21.751854, 4.078597, -16.500374)$239.75067$leftShoulderJoint:(0.5711686, -0.2780807, -1.9011152E-8, 0.7722937);leftElbowJoint:(0.3479908, 0.34282774, -4.3576918E-8, 0.8725661);rightShoulderJoint:(-0.041059755, 0.26206392, 3.5763325E-8, 0.96417665);rightElbowJoint:(0.7905424, 0.017931413, 2.0270056E-8, 0.6121447);$0.0$1A$(17.012062, 4.077708, -15.951199)$206.04329$0$4.0$2A$(-3.7488546, 4.0759773, 1.1284012)$135.0248$0$4.0$3A$(2.7553353, 4.0764723, -15.213751)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1242$B(21.346243, 4.613708, -16.656466)$0P$(21.751854, 4.078597, -16.500374)$239.75067$leftShoulderJoint:(0.5711686, -0.2780807, -1.9011152E-8, 0.7722937);leftElbowJoint:(0.3479908, 0.34282774, -4.3576918E-8, 0.8725661);rightShoulderJoint:(-0.041059755, 0.26206392, 3.5763325E-8, 0.96417665);rightElbowJoint:(0.7905424, 0.017931413, 2.0270056E-8, 0.6121447);$0.0$1A$(17.012062, 4.077708, -15.951199)$206.04329$0$4.0$2A$(-3.7488546, 4.0759773, 1.1284012)$135.0248$0$4.0$3A$(2.7553353, 4.0764723, -15.213751)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1243$B(21.346243, 4.613708, -16.656466)$0P$(21.751854, 4.078597, -16.500374)$239.75067$leftShoulderJoint:(0.5711686, -0.2780807, -1.9011152E-8, 0.7722937);leftElbowJoint:(0.3479908, 0.34282774, -4.3576918E-8, 0.8725661);rightShoulderJoint:(-0.041059755, 0.26206392, 3.5763325E-8, 0.96417665);rightElbowJoint:(0.7905424, 0.017931413, 2.0270056E-8, 0.6121447);$0.0$1A$(17.012062, 4.077708, -15.951199)$206.04329$0$4.0$2A$(-3.7488546, 4.0759773, 1.1284012)$135.0248$0$4.0$3A$(2.7553353, 4.0764723, -15.213751)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
1244$B(21.346243, 4.613708, -16.656466)$0P$(21.751854, 4.078597, -16.500374)$239.75067$leftShoulderJoint:(0.5711686, -0.2780807, -1.9011152E-8, 0.7722937);leftElbowJoint:(0.3479908, 0.34282774, -4.3576918E-8, 0.8725661);rightShoulderJoint:(-0.041059755, 0.26206392, 3.5763325E-8, 0.96417665);rightElbowJoint:(0.7905424, 0.017931413, 2.0270056E-8, 0.6121447);$0.0$1A$(17.012062, 4.077708, -15.951199)$206.04329$0$4.0$2A$(-3.7488546, 4.0759773, 1.1284012)$135.0248$0$4.0$3A$(2.7553353, 4.0764723, -15.213751)$137.81218$0$4.0$4A$(19.201532, 4.077961, -32.42502)$11.969463$0$0.0$5A$(8.242391, 4.07802, -3.3326278)$129.87828$0$0.0$
