*------------------------------------*
NEWD!P!0!templateshirt.JPG!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(28.33449, 4.0, 5.0551033)
NEWD!A!1!shirtyellowbob.jpg!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(4.188759, 4.0, -49.317314)
NEWD!A!2!shirtyellowcarl.jpg!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(-25.907146, 4.0, -22.273657)
NEWD!A!3!shirtyellowalan.jpg!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(-15.410032, 4.0, 5.6521225)
NEWD!A!4!templateshirt.JPG!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(42.169712, 4.0, -24.390009)
0$B(0.0, -4.1499996, 0.0)$0P$(28.33449, 4.0, 5.0551033)$274.539$leftShoulderJoint:(0.29368997, -0.93570536, -2.7521036E-8, 0.19545268);leftElbowJoint:(-0.029218147, -0.26376444, 3.352716E-8, 0.9641445);rightShoulderJoint:(-0.9336291, 0.31877473, 6.309012E-8, 0.16346104);rightElbowJoint:(-0.019697968, -0.15693101, -5.0506954E-10, 0.9874131);$0.0$1A$(4.188759, 4.0, -49.317314)$24.223923$0$4.0$2A$(-25.907146, 4.0, -22.273657)$63.2595$0$0.0$3A$(-15.410032, 4.0, 5.6521225)$90.78191$0$4.0$4A$(42.169712, 4.0, -24.390009)$278.01074$0$4.0$
3434$B(29.08132, 3.7036972, 2.621575)$0P$(28.335857, 4.07841, 5.054078)$235.254$leftShoulderJoint:(0.397756, 0.2064595, -4.282332E-9, 0.8939601);leftElbowJoint:(-0.8626512, 0.41581243, -5.285402E-8, 0.28798106);rightShoulderJoint:(-0.17722058, 0.09306767, 1.6305778E-8, 0.9797608);rightElbowJoint:(-0.034474753, 0.14133395, -8.8395663E-10, 0.9893615);$0.0$1A$(32.714245, 4.077136, -30.559582)$335.3193$0$4.0$2A$(5.208121, 4.0774264, -21.01538)$268.1431$0$4.0$3A$(21.26883, 4.0768805, 3.377452)$90.78191$0$4.0$4A$(8.018148, 4.077009, -21.854246)$341.28607$0$4.0$5N$(35.43614, 4.0797215, -27.722837)$309.1689$0$10.0$
3435$B(29.08132, 3.7038183, 2.621575)$0P$(28.335857, 4.07841, 5.054078)$235.254$leftShoulderJoint:(0.397756, 0.2064595, -4.282332E-9, 0.8939601);leftElbowJoint:(-0.8626512, 0.41581243, -5.285402E-8, 0.28798106);rightShoulderJoint:(-0.17722058, 0.09306767, 1.6305778E-8, 0.9797608);rightElbowJoint:(-0.034474753, 0.14133395, -8.8395663E-10, 0.9893615);$0.0$1A$(32.714245, 4.077136, -30.559582)$335.3193$0$4.0$2A$(5.208121, 4.0774264, -21.01538)$268.4668$0$4.0$3A$(21.26883, 4.0768805, 3.377452)$90.78191$0$4.0$4A$(8.018148, 4.077009, -21.854246)$341.60977$0$4.0$5N$(35.43614, 4.0797215, -27.722837)$309.1689$0$10.0$
3436$B(29.08132, 3.7038183, 2.621575)$0P$(28.335857, 4.07841, 5.054078)$235.254$leftShoulderJoint:(0.397756, 0.2064595, -4.282332E-9, 0.8939601);leftElbowJoint:(-0.8626512, 0.41581243, -5.285402E-8, 0.28798106);rightShoulderJoint:(-0.17722058, 0.09306767, 1.6305778E-8, 0.9797608);rightElbowJoint:(-0.034474753, 0.14133395, -8.8395663E-10, 0.9893615);$0.0$1A$(32.714245, 4.077136, -30.559582)$335.3193$0$4.0$2A$(5.208121, 4.0774264, -21.01538)$268.74362$0$4.0$3A$(21.26883, 4.0768805, 3.377452)$90.78191$0$4.0$4A$(8.018148, 4.077009, -21.854246)$341.8866$0$4.0$5N$(35.43614, 4.0797215, -27.722837)$309.1689$0$10.0$
3437$B(29.08132, 3.7038183, 2.621575)$0P$(28.335857, 4.07841, 5.054078)$235.254$leftShoulderJoint:(0.397756, 0.2064595, -4.282332E-9, 0.8939601);leftElbowJoint:(-0.8626512, 0.41581243, -5.285402E-8, 0.28798106);rightShoulderJoint:(-0.17722058, 0.09306767, 1.6305778E-8, 0.9797608);rightElbowJoint:(-0.034474753, 0.14133395, -8.8395663E-10, 0.9893615);$0.0$1A$(32.714245, 4.077136, -30.559582)$335.0296$0$4.0$2A$(5.208121, 4.0774264, -21.01538)$268.74362$0$4.0$3A$(21.26883, 4.0768805, 3.377452)$90.78191$0$4.0$4A$(8.018148, 4.077009, -21.854246)$342.1763$0$4.0$5N$(35.37153, 4.079101, -27.670204)$309.1689$0$10.0$
3438$B(29.08132, 3.7038183, 2.621575)$0P$(28.335857, 4.07841, 5.054078)$235.254$leftShoulderJoint:(0.397756, 0.2064595, -4.282332E-9, 0.8939601);leftElbowJoint:(-0.8626512, 0.41581243, -5.285402E-8, 0.28798106);rightShoulderJoint:(-0.17722058, 0.09306767, 1.6305778E-8, 0.9797608);rightElbowJoint:(-0.034474753, 0.14133395, -8.8395663E-10, 0.9893615);$0.0$1A$(32.714245, 4.077136, -30.559582)$335.0296$0$4.0$2A$(5.208121, 4.0774264, -21.01538)$268.74362$0$4.0$3A$(21.26883, 4.0768805, 3.377452)$90.78191$0$4.0$4A$(8.018148, 4.077009, -21.854246)$342.4933$0$4.0$5N$(35.37153, 4.079101, -27.670204)$309.1689$0$10.0$
3439$B(29.08132, 3.7038183, 2.621575)$0P$(28.335857, 4.07841, 5.054078)$235.254$leftShoulderJoint:(0.397756, 0.2064595, -4.282332E-9, 0.8939601);leftElbowJoint:(-0.8626512, 0.41581243, -5.285402E-8, 0.28798106);rightShoulderJoint:(-0.17722058, 0.09306767, 1.6305778E-8, 0.9797608);rightElbowJoint:(-0.034474753, 0.14133395, -8.8395663E-10, 0.9893615);$0.0$1A$(32.714245, 4.077136, -30.559582)$335.0296$0$4.0$2A$(5.208121, 4.0774264, -21.01538)$268.74362$0$4.0$3A$(21.26883, 4.0768805, 3.377452)$90.78191$0$4.0$4A$(8.018148, 4.077009, -21.854246)$342.81427$0$0.0$5N$(35.37153, 4.079101, -27.670204)$309.1689$0$10.0$
3440$B(29.08132, 3.7038183, 2.621575)$0P$(28.335857, 4.07841, 5.054078)$235.254$leftShoulderJoint:(0.397756, 0.2064595, -4.282332E-9, 0.8939601);leftElbowJoint:(-0.8626512, 0.41581243, -5.285402E-8, 0.28798106);rightShoulderJoint:(-0.17722058, 0.09306767, 1.6305778E-8, 0.9797608);rightElbowJoint:(-0.034474753, 0.14133395, -8.8395663E-10, 0.9893615);$0.0$1A$(32.714245, 4.077136, -30.559582)$335.0296$0$4.0$2A$(5.208121, 4.0774264, -21.01538)$268.74362$0$4.0$3A$(21.26883, 4.0768805, 3.377452)$90.78191$0$4.0$4A$(8.018148, 4.077009, -21.854246)$343.14114$0$4.0$5N$(35.37153, 4.079101, -27.670204)$309.1689$0$10.0$
3441$B(29.08132, 3.7038183, 2.621575)$0P$(28.335857, 4.07841, 5.054078)$235.254$leftShoulderJoint:(0.397756, 0.2064595, -4.282332E-9, 0.8939601);leftElbowJoint:(-0.8626512, 0.41581243, -5.285402E-8, 0.28798106);rightShoulderJoint:(-0.17722058, 0.09306767, 1.6305778E-8, 0.9797608);rightElbowJoint:(-0.034474753, 0.14133395, -8.8395663E-10, 0.9893615);$0.0$1A$(32.714245, 4.077136, -30.559582)$335.0296$0$4.0$2A$(5.208121, 4.0774264, -21.01538)$268.74362$0$4.0$3A$(21.26883, 4.0768805, 3.377452)$90.78191$0$4.0$4A$(8.018148, 4.077009, -21.854246)$343.46732$0$4.0$5N$(35.37153, 4.079101, -27.670204)$309.1689$0$10.0$
3442$B(29.08132, 3.7038183, 2.621575)$0P$(28.335857, 4.07841, 5.054078)$234.363$leftShoulderJoint:(0.39802733, 0.20845465, -4.2437414E-9, 0.8933761);leftElbowJoint:(-0.862069, 0.41708857, -5.301623E-8, 0.287879);rightShoulderJoint:(-0.22817144, 0.064052105, 1.3576222E-8, 0.9715118);rightElbowJoint:(-0.047155764, 0.11561189, -1.2091066E-9, 0.9921745);$0.0$1A$(32.714245, 4.077136, -30.559582)$335.0296$0$4.0$2A$(5.208121, 4.0774264, -21.01538)$268.74362$0$4.0$3A$(21.26883, 4.0768805, 3.377452)$90.78191$0$4.0$4A$(8.018148, 4.077009, -21.854246)$343.79453$0$4.0$5N$(35.37153, 4.079101, -27.670204)$309.1689$0$10.0$
3443$B(29.456547, 3.8419437, 2.5315557)$0P$(28.335857, 4.07841, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.714245, 4.077136, -30.559582)$335.0296$0$4.0$2A$(5.208121, 4.0774264, -21.01538)$268.74362$0$4.0$3A$(21.26883, 4.0768805, 3.377452)$90.78191$0$4.0$4A$(8.018148, 4.077009, -21.854246)$344.50586$0$4.0$5N$(35.37153, 4.079101, -27.670204)$309.1689$0$10.0$
3444$B(29.428217, 3.841916, 2.5230527)$0P$(28.335857, 4.0782933, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.68299, 4.0775733, -30.505243)$335.0296$0$4.0$2A$(5.145158, 4.0775614, -21.011332)$269.19632$0$4.0$3A$(21.33113, 4.07751, 3.3735487)$90.78191$0$4.0$4A$(8.011974, 4.077502, -21.791946)$344.50586$0$4.0$5N$(35.37153, 4.079101, -27.670204)$309.1689$0$10.0$
3445$B(29.428217, 3.8417997, 2.5230527)$0P$(28.335857, 4.0782933, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.68299, 4.0775733, -30.505243)$335.0296$0$4.0$2A$(5.145158, 4.0775614, -21.011332)$269.49387$0$4.0$3A$(21.33113, 4.07751, 3.3735487)$90.78191$0$4.0$4A$(8.011974, 4.077502, -21.791946)$344.8034$0$4.0$5N$(35.37153, 4.079101, -27.670204)$309.1689$0$10.0$
3446$B(29.428217, 3.8417997, 2.5230527)$0P$(28.335857, 4.0782933, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.68299, 4.0775733, -30.505243)$335.0296$0$4.0$2A$(5.145158, 4.0775614, -21.011332)$269.8101$0$4.0$3A$(21.33113, 4.07751, 3.3735487)$90.78191$0$4.0$4A$(8.011974, 4.077502, -21.791946)$345.11963$0$0.0$5N$(35.37153, 4.079101, -27.670204)$309.1689$0$10.0$
3447$B(29.428217, 3.8417997, 2.5230527)$0P$(28.335857, 4.0782933, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.68299, 4.0775733, -30.505243)$335.0296$0$4.0$2A$(5.145158, 4.0775614, -21.011332)$270.09683$0$4.0$3A$(21.33113, 4.07751, 3.3735487)$90.78191$0$4.0$4A$(8.011974, 4.077502, -21.791946)$345.40637$0$4.0$5N$(35.37153, 4.079101, -27.670204)$309.1689$0$10.0$
3448$B(29.428217, 3.8417997, 2.5230527)$0P$(28.335857, 4.0782933, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.68299, 4.0775733, -30.505243)$335.0296$0$4.0$2A$(5.145158, 4.0775614, -21.011332)$270.3808$0$4.0$3A$(21.33113, 4.07751, 3.3735487)$90.78191$0$4.0$4A$(8.011974, 4.077502, -21.791946)$345.69034$0$0.0$5N$(35.37153, 4.079101, -27.670204)$309.1689$0$10.0$
3449$B(29.428217, 3.8417997, 2.5230527)$0P$(28.335857, 4.0782933, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.68299, 4.0775733, -30.505243)$334.6935$0$4.0$2A$(5.145158, 4.0775614, -21.011332)$270.3808$0$4.0$3A$(21.33113, 4.07751, 3.3735487)$90.78191$0$4.0$4A$(8.011974, 4.077502, -21.791946)$346.02643$0$4.0$5N$(35.294, 4.0790877, -27.607044)$309.1689$0$10.0$
3450$B(29.428217, 3.8417997, 2.5230527)$0P$(28.335857, 4.0782933, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.68299, 4.0775733, -30.505243)$334.27936$0$4.0$2A$(5.145158, 4.0775614, -21.011332)$270.3808$0$4.0$3A$(21.33113, 4.07751, 3.3735487)$90.78191$0$4.0$4A$(8.011974, 4.077502, -21.791946)$346.44058$0$4.0$5N$(35.294, 4.0790877, -27.607044)$309.1689$0$10.0$
3451$B(29.428217, 3.8417997, 2.5230527)$0P$(28.335857, 4.0782933, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.68299, 4.0775733, -30.505243)$334.27936$0$4.0$2A$(5.145158, 4.0775614, -21.011332)$270.3808$0$4.0$3A$(21.33113, 4.07751, 3.3735487)$90.78191$0$4.0$4A$(8.011974, 4.077502, -21.791946)$346.85242$0$4.0$5N$(35.294, 4.0790877, -27.607044)$309.1689$0$10.0$
3452$B(29.428217, 3.8417997, 2.5230527)$0P$(28.335857, 4.078289, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.65123, 4.077936, -30.451096)$334.27936$0$4.0$2A$(5.0822725, 4.077659, -21.005657)$271.07205$0$4.0$3A$(21.397665, 4.0747848, 3.3693814)$90.78191$0$4.0$4A$(8.022316, 4.0787644, -21.73134)$347.54367$0$4.0$5N$(35.294, 4.0790877, -27.607044)$309.1689$0$10.0$
3453$B(29.428217, 3.841795, 2.5230527)$0P$(28.335857, 4.078289, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.65123, 4.077936, -30.451096)$334.27936$0$4.0$2A$(5.0822725, 4.077659, -21.005657)$271.42398$0$4.0$3A$(21.397665, 4.0747848, 3.3693814)$90.78191$0$4.0$4A$(8.022316, 4.0787644, -21.73134)$347.19174$0$4.0$5N$(35.294, 4.0790877, -27.607044)$309.1689$0$10.0$
3454$B(29.428217, 3.841795, 2.5230527)$0P$(28.335857, 4.078289, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.65123, 4.077936, -30.451096)$334.27936$0$4.0$2A$(5.0822725, 4.077659, -21.005657)$271.7658$0$4.0$3A$(21.397665, 4.0747848, 3.3693814)$90.78191$0$4.0$4A$(8.022316, 4.0787644, -21.73134)$346.8499$0$4.0$5N$(35.294, 4.0790877, -27.607044)$309.1689$0$10.0$
3455$B(29.428217, 3.841795, 2.5230527)$0P$(28.335857, 4.078289, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.65123, 4.077936, -30.451096)$333.98965$0$4.0$2A$(5.0822725, 4.077659, -21.005657)$271.7658$0$4.0$3A$(21.397665, 4.0747848, 3.3693814)$90.78191$0$4.0$4A$(8.022316, 4.0787644, -21.73134)$347.13962$0$0.0$5N$(35.21647, 4.0800495, -27.543884)$309.1689$0$10.0$
3456$B(29.428217, 3.841795, 2.5230527)$0P$(28.335857, 4.078289, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.65123, 4.077936, -30.451096)$333.98965$0$4.0$2A$(5.0822725, 4.077659, -21.005657)$271.7658$0$4.0$3A$(21.397665, 4.0747848, 3.3693814)$90.78191$0$4.0$4A$(8.022316, 4.0787644, -21.73134)$347.41315$0$4.0$5N$(35.21647, 4.0800495, -27.543884)$309.1689$0$10.0$
3457$B(29.428217, 3.841795, 2.5230527)$0P$(28.335857, 4.078289, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.65123, 4.077936, -30.451096)$333.98965$0$4.0$2A$(5.0822725, 4.077659, -21.005657)$271.7658$0$4.0$3A$(21.397665, 4.0747848, 3.3693814)$90.78191$0$4.0$4A$(8.022316, 4.0787644, -21.73134)$347.7014$0$4.0$5N$(35.21647, 4.0800495, -27.543884)$309.1689$0$10.0$
3458$B(29.428217, 3.841795, 2.5230527)$0P$(28.335857, 4.078289, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.65123, 4.077936, -30.451096)$333.98965$0$4.0$2A$(5.0822725, 4.077659, -21.005657)$271.7658$0$4.0$3A$(21.397665, 4.0747848, 3.3693814)$90.78191$0$4.0$4A$(8.022316, 4.0787644, -21.73134)$348.01706$0$4.0$5N$(35.21647, 4.0800495, -27.543884)$309.1689$0$10.0$
3459$B(29.428217, 3.841795, 2.5230527)$0P$(28.335857, 4.078289, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.65123, 4.077936, -30.451096)$333.98965$0$4.0$2A$(5.0822725, 4.077659, -21.005657)$271.7658$0$4.0$3A$(21.397665, 4.0747848, 3.3693814)$90.78191$0$4.0$4A$(8.022316, 4.0787644, -21.73134)$347.6913$0$4.0$5N$(35.21647, 4.0800495, -27.543884)$309.1689$0$10.0$
3460$B(29.428217, 3.841795, 2.5230527)$0P$(28.335857, 4.078289, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.65123, 4.077936, -30.451096)$333.98965$0$4.0$2A$(5.0822725, 4.077659, -21.005657)$271.7658$0$4.0$3A$(21.397665, 4.0747848, 3.3693814)$90.78191$0$4.0$4A$(8.022316, 4.0787644, -21.73134)$346.9634$0$4.0$5N$(35.21647, 4.0800495, -27.543884)$309.1689$0$10.0$
3461$B(29.428217, 3.841795, 2.5230527)$0P$(28.335857, 4.07841, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.618793, 4.0779853, -30.396854)$333.98965$0$4.0$2A$(5.0195203, 4.077728, -20.998331)$272.30145$0$4.0$3A$(21.45967, 4.075667, 3.365497)$90.78191$0$4.0$4A$(7.9948945, 4.0760393, -21.670574)$346.9634$0$4.0$5N$(35.20355, 4.0773244, -27.533358)$309.1689$0$10.0$
3462$B(29.428217, 3.841916, 2.5230527)$0P$(28.335857, 4.07841, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.618793, 4.0779853, -30.396854)$333.98965$0$4.0$2A$(5.0195203, 4.077728, -20.998331)$272.64706$0$4.0$3A$(21.45967, 4.075667, 3.365497)$90.78191$0$4.0$4A$(7.9948945, 4.0760393, -21.670574)$347.30902$0$0.0$5N$(35.21647, 4.0800495, -27.543884)$309.1689$0$10.0$
3463$B(29.428217, 3.841916, 2.5230527)$0P$(28.335857, 4.07841, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.618793, 4.0779853, -30.396854)$333.98965$0$4.0$2A$(5.0195203, 4.077728, -20.998331)$272.93787$0$4.0$3A$(21.45967, 4.075667, 3.365497)$90.78191$0$4.0$4A$(7.9948945, 4.0760393, -21.670574)$347.30902$0$4.0$5N$(35.21647, 4.0800495, -27.543884)$309.1689$0$10.0$
3464$B(29.428217, 3.841916, 2.5230527)$0P$(28.335857, 4.07841, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.618793, 4.0779853, -30.396854)$333.98965$0$4.0$2A$(5.0195203, 4.077728, -20.998331)$273.2424$0$4.0$3A$(21.45967, 4.075667, 3.365497)$90.78191$0$4.0$4A$(7.9948945, 4.0760393, -21.670574)$347.61356$0$0.0$5N$(35.21647, 4.0800495, -27.543884)$309.1689$0$10.0$
3465$B(29.428217, 3.841916, 2.5230527)$0P$(28.335857, 4.07841, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.618793, 4.0779853, -30.396854)$333.56213$0$4.0$2A$(5.0195203, 4.077728, -20.998331)$273.2424$0$4.0$3A$(21.45967, 4.075667, 3.365497)$90.78191$0$4.0$4A$(7.9948945, 4.0760393, -21.670574)$348.04108$0$0.0$5N$(35.13894, 4.0795994, -27.480724)$309.1689$0$10.0$
3466$B(29.428217, 3.841916, 2.5230527)$0P$(28.335857, 4.07841, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.618793, 4.0779853, -30.396854)$333.56213$0$4.0$2A$(5.0195203, 4.077728, -20.998331)$273.2424$0$4.0$3A$(21.45967, 4.075667, 3.365497)$90.78191$0$4.0$4A$(7.9948945, 4.0760393, -21.670574)$348.04108$0$4.0$5N$(35.13894, 4.0795994, -27.480724)$309.1689$0$10.0$
3467$B(29.428217, 3.841916, 2.5230527)$0P$(28.335857, 4.07841, 5.054078)$234.363$leftShoulderJoint:(0.40035665, 0.20147254, -4.4521853E-9, 0.893937);leftElbowJoint:(-0.8559941, 0.4288236, -5.4507872E-8, 0.28876364);rightShoulderJoint:(-0.22788516, 0.069181114, 1.425201E-8, 0.9712272);rightElbowJoint:(-0.044854134, 0.116151564, -1.1500911E-9, 0.9922182);$0.0$1A$(32.618793, 4.0779853, -30.396854)$333.56213$0$4.0$2A$(5.0195203, 4.077728, -20.998331)$273.2424$0$4.0$3A$(21.45967, 4.075667, 3.365497)$90.78191$0$4.0$4A$(7.9948945, 4.0760393, -21.670574)$348.4476$0$4.0$5N$(35.13894, 4.0795994, -27.480724)$309.1689$0$10.0$
